index;Load(kN);Defor(mm);Stroke(mm);Time(s)
409;3.68;2.0287;2.029;24.535
410;3.68;2.0338;2.034;24.595
411;3.7;2.0387;2.039;24.655
412;3.72;2.0438;2.044;24.715
413;3.72;2.0487;2.049;24.775
414;3.74;2.0538;2.054;24.835
415;3.76;2.0587;2.059;24.895
416;3.78;2.0638;2.064;24.955
417;3.78;2.0687;2.069;25.015
418;3.8;2.0738;2.074;25.075
419;3.82;2.0787;2.079;25.135
420;3.84;2.0838;2.084;25.195
421;3.86;2.0887;2.089;25.255
422;3.86;2.095;2.095;25.315
423;3.88;2.0987;2.099;25.375
424;3.9;2.105;2.105;25.435
425;3.92;2.1087;2.109;25.495
426;3.94;2.115;2.115;25.555
427;3.94;2.12;2.12;25.615
428;3.96;2.125;2.125;25.675
429;3.98;2.13;2.13;25.735
430;4;2.135;2.135;25.795
431;4.02;2.14;2.14;25.855
432;4.02;2.145;2.145;25.915
433;4.04;2.15;2.15;25.975
434;4.06;2.155;2.155;26.035
435;4.08;2.16;2.16;26.095
436;4.1;2.165;2.165;26.155
437;4.12;2.17;2.17;26.215
438;4.12;2.175;2.175;26.275
439;4.14;2.18;2.18;26.335
440;4.16;2.185;2.185;26.395
441;4.18;2.19;2.19;26.455
442;4.2;2.195;2.195;26.515
443;4.22;2.2;2.2;26.575
444;4.24;2.205;2.205;26.635
445;4.26;2.21;2.21;26.695
446;4.28;2.215;2.215;26.755
447;4.3;2.22;2.22;26.815
448;4.3;2.225;2.225;26.875
449;4.32;2.23;2.23;26.935
450;4.34;2.235;2.235;26.995
451;4.36;2.24;2.24;27.055
452;4.38;2.245;2.245;27.115
453;4.4;2.25;2.25;27.175
454;4.42;2.255;2.255;27.235
455;4.44;2.26;2.26;27.295
456;4.46;2.265;2.265;27.355
457;4.48;2.27;2.27;27.415
458;4.5;2.275;2.275;27.475
459;4.52;2.28;2.28;27.535
460;4.54;2.285;2.285;27.595
461;4.54;2.29;2.29;27.655
462;4.56;2.295;2.295;27.715
463;4.58;2.3;2.3;27.775
464;4.6;2.305;2.305;27.835
465;4.62;2.31;2.31;27.895
466;4.64;2.315;2.315;27.955
467;4.66;2.32;2.32;28.015
468;4.68;2.325;2.325;28.075
469;4.7;2.33;2.33;28.135
470;4.72;2.335;2.335;28.195
