0
Diameter:	   7.90
   1.00
Area:	  49.0167
GaugeLength:	  50.00
2009-1-1
ACO REVENIDO
GRUPO3 ACO REVENIDO
DataNumber:	2647
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  332	 10.1000	  0.5500	   1.645	  19.915
  333	 10.1400	  0.5520	   1.650	  19.975
  334	 10.2000	  0.5520	   1.655	  20.035
  335	 10.2400	  0.5520	   1.660	  20.095
  336	 10.3000	  0.5520	   1.665	  20.155
  337	 10.3400	  0.5520	   1.670	  20.215
  338	 10.4000	  0.5520	   1.675	  20.275
  339	 10.4600	  0.5520	   1.680	  20.335
  340	 10.5000	  0.5540	   1.685	  20.395
  341	 10.5600	  0.5540	   1.690	  20.455
  342	 10.6000	  0.5540	   1.695	  20.515
  343	 10.6600	  0.5540	   1.700	  20.575
  344	 10.7200	  0.5540	   1.705	  20.635
  345	 10.7600	  0.5540	   1.710	  20.695
  346	 10.8000	  0.5540	   1.715	  20.755
  347	 10.8600	  0.5560	   1.720	  20.815
  348	 10.9200	  0.5540	   1.725	  20.875
  349	 10.9600	  0.5560	   1.730	  20.935
  350	 11.0000	  0.5560	   1.735	  20.995
  351	 11.0600	  0.5560	   1.740	  21.055
  352	 11.1200	  0.5560	   1.745	  21.115
  353	 11.1600	  0.5560	   1.750	  21.175
  354	 11.2000	  0.5560	   1.755	  21.235
  355	 11.2600	  0.5580	   1.760	  21.295
  356	 11.3200	  0.5560	   1.765	  21.355
  357	 11.3600	  0.5580	   1.770	  21.415
  358	 11.4200	  0.5580	   1.775	  21.475
  359	 11.4800	  0.5580	   1.780	  21.535
  360	 11.5200	  0.5580	   1.785	  21.595
  361	 11.5800	  0.5580	   1.790	  21.655
  362	 11.6200	  0.5580	   1.795	  21.715
  363	 11.6800	  0.5580	   1.800	  21.775
  364	 11.7200	  0.5600	   1.805	  21.835
  365	 11.7800	  0.5600	   1.810	  21.895
  366	 11.8400	  0.5600	   1.815	  21.955
  367	 11.9000	  0.5600	   1.820	  22.015
  368	 11.9400	  0.5600	   1.825	  22.075
  369	 12.0000	  0.5600	   1.830	  22.135
  370	 12.0400	  0.5600	   1.835	  22.195
  371	 12.1000	  0.5620	   1.840	  22.255
  372	 12.1400	  0.5620	   1.845	  22.315
  373	 12.2000	  0.5620	   1.850	  22.375
  374	 12.2600	  0.5620	   1.855	  22.435
  375	 12.3000	  0.5620	   1.860	  22.495
  376	 12.3600	  0.5620	   1.865	  22.555
  377	 12.4000	  0.5640	   1.870	  22.615
